Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Gente a cargo?,¿Cuánta?,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2017,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en 2017?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,31 - 33,Chubut,5,4,No,0,HelpDesk,,,,,,,No,0,Bruto,Full-Time,44000,Neto,3,3,No,No recibo bono,No,0,51-100,No,No cambié de empresa,"Abono de celular y/o Internet, Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes, Vacaciones flexibles (adicionales a las reglamentarias), me pagan el alquiler"
Hombre,41 - 45,Chubut,10+,9,Sí,55,Networking,,,,,,,"Sí, pasiva",0,Bruto,Full-Time,45000,Bruto,3,2,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,37 - 40,Chubut,10+,3,No,0,Soporte y desarrollador sql,,,,,,,,,,Full-Time,15000,Neto,3,3,Un sueldo,Performance de la compañía,Dos,20,101-200,No,No cambié de empresa,"Descuentos en gimnasios, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos"
Hombre,34 - 36,Chubut,10+,4,No,0,Developer,,Genexus,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,30000,Neto,3,2,Menos de un sueldo,Performance de la compañía,Uno,0,201-500,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Chubut,4,3,No,0,Networking,,,,,,,No,0,Bruto,Part-Time,9400,Neto,2,2,No,No recibo bono,Uno,25,11-50,No,No cambié de empresa,"Aumento por inflación, Vacaciones flexibles (adicionales a las reglamentarias)"
Mujer,34 - 36,Chubut,4,4,Sí,2,empleada de casa particulares,,,,,,,,,,Part-Time,18500,Bruto,1,1,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Chubut,10+,5,Sí,2,Networking,,,,,,,"Sí, pasiva",0,Neto,Full-Time,23000,Neto,3,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Viáticos
Hombre,37 - 40,Chubut,3,1,No,0,HelpDesk,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,13500,Bruto,2,2,No,No recibo bono,Uno,10,101-200,No,No cambié de empresa,Aumento por inflación
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,5,5,No,0,Developer,,"Javascript, jQuery, Python, Ruby",,,,,No,0,Porcentaje de mi sueldo,Part-Time,19400,Neto,2,2,No,No recibo bono,Uno,19,11-50,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5,4,No,0,Developer,,4GL,,,,,No,0,Bruto,Full-Time,24043,Neto,1,2,No,No recibo bono,Uno,20,101-200,No,No cambié de empresa,"Aumento por inflación, Clases de idiomas, Descuentos en gimnasios"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,6,3,No,0,Developer,,"CSS, HTML, Javascript, jQuery, NodeJS, PHP, Python",,,,,No,0,Porcentaje de mi sueldo,Full-Time,42000,Neto,3,3,No,Mix de las anteriores,Dos,20,11-50,No,Mejores beneficios,"Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Mujer,34 - 36,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Developer,,"CSS, HTML, Javascript, jQuery",,,,,No,0,Bruto,Full-Time,29000,Bruto,2,1,No,No recibo bono,No,0,101-200,Sí,Me desvincularon,"Snacks, golosinas, bebidas"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,2,2,No,0,Soporte Técnico ,,,,,,,,,,Full-Time,11800,Neto,3,2,No,No recibo bono,Uno,11,51-100,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Infosec,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,45000,Bruto,3,3,Un sueldo,Performance individual,No,0,1-10,Sí,Salario,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Laptop, WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,2,Sí,10,PM,,,,,,,,,,Full-Time,35000,Neto,2,2,Menos de un sueldo,Performance individual,Uno,10,11-50,No,No cambié de empresa,"Bonos por desempeño, Comidas pagas/subvencionadas, Descuentos en gimnasios, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,2,2,No,0,Infosec,,,,,,,No,0,Bruto,Part-Time,12000,Neto,2,1,No,No recibo bono,Uno,5,1001+,No,No cambié de empresa,"Comidas pagas/subvencionadas, Descuentos en gimnasios"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,3,Menos de un año,No,0,Networking,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,12000,Neto,2,2,No,No recibo bono,No,0,1-10,Sí,La empresa anterior quebro,"Abono de celular y/o Internet, Capacitaciones y/o cursos"
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,1,Menos de un año,No,0,SysAdmin / DevOps,"Linux, Amazon Web Services, Azure, Docker / Containers",Python,,,,,No,0,Porcentaje de mi sueldo,Full-Time,27000,Neto,4,4,No,No recibo bono,No,0,51-100,Sí,Mayor comodidad,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,8,1,No,0,Storage / Backup,,,,,,,"Sí, activa",3000,Bruto,Full-Time,26000,Neto,3,2,Menos de un sueldo,Mix de las anteriores,Uno,12.5,1001+,No,No cambié de empresa,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Laptop, Sueldo divido en dos pagos por mes, WFH (Trabajar desde casa)"
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,1,1,No,0,Developer,,"HTML, Javascript, jQuery, Ruby",,,,,No,0,Neto,Part-Time,16077,Bruto,3,4,Un sueldo,Performance de la compañía,Uno,15,51-100,No,No cambié de empresa,"Aumento por inflación, Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,10+,No,0,SysAdmin / DevOps,"Windows, Amazon Web Services, Azure, VMWare",PHP,,,,,"Sí, pasiva",0,Bruto,Full-Time,49500,Bruto,3,3,No,No recibo bono,Uno,13,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Ipad"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,3,No,0,Developer,,".NET, C#, Python",,,,,No,0,Bruto,Full-Time,50000,Bruto,3,2,Un sueldo,Performance individual,Uno,16,201-500,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Laptop, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,7,No,0,SysAdmin / DevOps,"Linux, Windows, VMWare",".NET, HTML, PHP, powershell",,,,,No,0,Neto,Full-Time,27000,Neto,3,2,No,No recibo bono,Dos,21,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3,Menos de un año,No,0,Ventas,,,,,,,,,,Full-Time,30000,Bruto,3,3,Menos de un sueldo,Performance individual,Uno,10,101-200,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Descuentos en gimnasios, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,8,6,No,0,Delivery manager,,,,,,,,,,Full-Time,55000,Bruto,3,2,De uno a tres sueldos,Mix de las anteriores,Uno,10,1001+,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Cuota para universidad, Guardería, Laptop, Masajes, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,SysAdmin / DevOps,"Linux, Windows, Docker / Containers, VMWare","C++, Python",,,,,"Sí, activa",0,Porcentaje de mi sueldo,Full-Time,22000,Neto,3,4,3+ sueldos,Mix de las anteriores,No,0,11-50,Sí,Salario,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Laptop"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,3,7,No,0,QA / Tester,,,SOAP,Funcional,HP QC,,,,,Full-Time,30960,Bruto,3,3,No,No recibo bono,Uno,20,1001+,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos en gimnasios, Snacks, golosinas, bebidas"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,1,1,No,0,Developer,,Java,,,,,No,0,Porcentaje de mi sueldo,Part-Time,15340,Neto,2,2,No,No recibo bono,Uno,18,1-10,No,No cambié de empresa,"Aumento por inflación, Laptop, WFH (Trabajar desde casa)"
