Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Gente a cargo?,¿Cuánta?,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2017,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en 2017?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,4,No,0,Developer,,"Go, Java, Javascript, NodeJS, PHP, Python",,,,,No,0,Porcentaje de mi sueldo,Full-Time,65122,Bruto,3,3,No,No recibo bono,Uno,20,11-50,No,No cambié de empresa,"Aumento por inflación, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3,3,No,0,Developer full stack,,,,,,,,,,Full-Time,30000,Neto,3,2,Menos de un sueldo,Performance de la compañía,Uno,5,1001+,No,No cambié de empresa,"Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,3,Sí,60,Manager,,,,,,,,,,Full-Time,220000,Bruto,3,2,3+ sueldos,Mix de las anteriores,Uno,17,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Playroom, WFH (Trabajar desde casa)"
Mujer,27 - 30,Ciudad Autónoma de Buenos Aires,4,Menos de un año,No,0,Developer,,"Objective-C, Swift",,,,,No,0,Neto,Full-Time,35000,Bruto,1,1,No,No recibo bono,No,0,1001+,Sí,Despido por cambio de tecnologia,WFH (Trabajar desde casa)
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,8,Menos de un año,No,0,Developer,,".NET, C#, CSS, HTML, Javascript, jQuery, NodeJS",,,,,No,0,Porcentaje de mi sueldo,Full-Time,42000,Bruto,2,4,No,No recibo bono,Uno,5,101-200,Sí,Salario,"Aumento por inflación, Comidas pagas/subvencionadas, Máquina de café"
Mujer,27 - 30,Ciudad Autónoma de Buenos Aires,7,5,Sí,4,Designer,,,,,,,,,,Full-Time,38000,Neto,3,3,No,No recibo bono,No,0,501-1000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,10+,No,0,Developer,,Python,,,,,"Sí, pasiva",12,Porcentaje de mi sueldo,Part-Time,37000,Neto,3,3,De uno a tres sueldos,Mix de las anteriores,Dos,25,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Laptop, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,8,8,No,0,Developer,,"HTML, Javascript, PHP",,,,,No,0,Neto,Full-Time,20000,Neto,2,3,No,No recibo bono,No,0,1001+,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,2,Sí,3,TL/Product Owner,,,,,,,,,,Full-Time,38000,Neto,3,2,Menos de un sueldo,Mix de las anteriores,No,0,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Laptop, Playroom, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,9,1,No,0,SysAdmin / DevOps,"Linux, Windows, Azure, VMWare",".NET, HTML",,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,30000,Bruto,2,3,No,No recibo bono,No,0,501-1000,Sí,Salario,Ninguna de las anteriores
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,3,2,No,0,Developer,,"NodeJS, PHP",,,,,No,0,Neto,Full-Time,32000,Bruto,2,1,No,No recibo bono,Uno,12,51-100,No,No cambié de empresa,"Aumento por inflación, WFH (Trabajar desde casa)"
Mujer,27 - 30,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,BSA,,,,,,,,,,Full-Time,43000,Bruto,2,2,No,No recibo bono,No,0,501-1000,Sí,Salario,"Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,46 - 49,Ciudad Autónoma de Buenos Aires,10+,3,No,0,accountant,,,,,,,,,,Full-Time,48000,Bruto,2,2,No,No recibo bono,Uno,22,1001+,No,No cambié de empresa,Comidas pagas/subvencionadas
Hombre,50+,Ciudad Autónoma de Buenos Aires,10+,5,No,0,gestión plataforma educativa,,,,,,,,,,Full-Time,35000,Neto,3,2,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,10+,Sí,50,"Developer, Coach, Manager, etc",,,,,,,,,,Full-Time,70000,Bruto,4,4,3+ sueldos,Performance de la compañía,Dos,15,51-100,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa), 4 hrs de investibacion semanales, 1 congreso pago, vaciones adicionales, gestion participativa y muchos mas"
Hombre,46 - 49,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,QA / Tester,,,"HTML, Python",Mix,Selenium,,,,,Full-Time,35000,Bruto,3,2,No,No recibo bono,No,0,201-500,No,No cambié de empresa,"Clases de idiomas, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,3,Sí,3,CTO,,,,,,,,,,Remoto (empresa de otro país),72000,Neto,3,2,Menos de un sueldo,Performance de la compañía,No,0,11-50,No,No cambié de empresa,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Mujer,37 - 40,Ciudad Autónoma de Buenos Aires,10+,8,No,0,Account Manager,,,,,,,,,,Full-Time,87472,Bruto,4,4,De uno a tres sueldos,Performance de la compañía,Dos,16,11-50,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,6,1,No,0,Developer,,"HTML, Javascript, jQuery, PHP",,,,,No,0,Bruto,Full-Time,27,Bruto,1,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Descuentos en gimnasios
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,2,1,No,0,Developer,,"CSS, HTML, Javascript, jQuery, Ruby",,,,,No,0,Bruto,Full-Time,26000,Bruto,4,4,De uno a tres sueldos,Performance de la compañía,Dos,10,51-100,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,3,Sí,10,HelpDesk,,,,,,,"Sí, pasiva",0,Neto,Full-Time,20000,Neto,2,2,Menos de un sueldo,Performance de la compañía,Dos,15,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Comidas pagas/subvencionadas, Descuentos en gimnasios, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,8,5,Sí,5,Designer,,,,,,,,,,Full-Time,24000,Neto,2,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Aumento por inflación, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,7,Sí,5,PM,,,,,,,,,,Tercerizado (trabajo a través de consultora o agencia),41000,Bruto,4,4,Un sueldo,Mix de las anteriores,Más de dos,40,201-500,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,3,3,No,0,QA / Tester,,,xml,Funcional,doct,,,,,Full-Time,15000,Neto,2,3,No,No recibo bono,Uno,20,201-500,No,No cambié de empresa,Clases de idiomas
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Analista,,,,,,,,,,Full-Time,31000,Neto,3,3,No,No recibo bono,No,0,11-50,Sí,Salario,"Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,2,No,0,Networking,,,,,,,"Sí, pasiva",5500,Bruto,Full-Time,55000,Neto,3,3,No,No recibo bono,Uno,14,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Sueldo divido en dos pagos por mes, Viáticos, WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,Sí,5,PM,,,,,,,,,,Full-Time,70000,Bruto,3,4,De uno a tres sueldos,Performance individual,Uno,10,201-500,Sí,Desafíos profesionales,"Bonos por desempeño, Horarios flexibles, Laptop, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos, WFH (Trabajar desde casa)"
Mujer,46 - 49,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Developer,,As400 - RPG400,,,,,No,0,Porcentaje de mi sueldo,Full-Time,46000,Bruto,4,4,Menos de un sueldo,Bono por el dia del bancario,No,0,1001+,Sí,Salario,Aumento por inflación
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,4,1,No,0,Developer,,"CSS, HTML, Javascript, jQuery, Ruby",,,,,No,0,Bruto,Full-Time,33930,Bruto,3,3,Un sueldo,Performance de la compañía,Dos,16.8,11-50,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,6,4,Sí,12,PM,,,,,,,,,,Full-Time,34720,Neto,2,2,Menos de un sueldo,viaje,Uno,12,51-100,No,No cambié de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Horarios flexibles, Laptop, Playroom, Snacks, golosinas, bebidas, Sueldo divido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,7,Sí,4,Developer,,"PL/SQL, oracle forms, reports",,,,,No,0,Porcentaje de mi sueldo,Full-Time,44330,Bruto,2,2,Menos de un sueldo,Mix de las anteriores,Uno,37,201-500,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Laptop, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,10+,2,No,0,Developer,,"Go, Java",,,,,"Sí, activa",0,Porcentaje de mi sueldo,Full-Time,47000,Bruto,3,3,De uno a tres sueldos,Mix de las anteriores,Uno,5,1001+,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Guardería, Laptop, Masajes, Playroom, Snacks, golosinas, bebidas"
Mujer,34 - 36,Ciudad Autónoma de Buenos Aires,3,3,No,0,Developer,,"Oracle, Meta4",,,,,No,0,Porcentaje de mi sueldo,Full-Time,44000,Neto,3,3,No,No recibo bono,Uno,25,1001+,No,No cambié de empresa,"Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,5,2,No,0,Developer,,Javascript,,,,,No,0,Neto,Full-Time,24000,Neto,2,3,No,No recibo bono,Uno,15,1-10,No,No cambié de empresa,"Horarios flexibles, Playroom, WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,5,No,0,PM,,,,,,,,,,Full-Time,33500,Neto,3,3,Un sueldo,Performance individual,Uno,22,201-500,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Comidas pagas/subvencionadas, Laptop, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Mujer,37 - 40,Ciudad Autónoma de Buenos Aires,3,1,No,0,sales,,,,,,,,,,Full-Time,32000,Bruto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Capacitaciones y/o cursos, Descuentos en gimnasios, Laptop, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,2,Sí,4,ScrumMaster,,,,,,,,,,Full-Time,380000,Bruto,3,1,No,No recibo bono,Uno,10,51-100,No,No cambié de empresa,WFH (Trabajar desde casa)
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,6,No,0,Developer,,PHP,,,,,No,0,Bruto,Full-Time,30000,Bruto,2,1,No,No recibo bono,No,0,501-1000,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,5,Sí,1,SysAdmin / DevOps,Windows,"ActionScript, CSS, HTML, Java, PHP",,,,,No,0,Porcentaje de mi sueldo,Full-Time,42000,Bruto,3,3,Menos de un sueldo,Mix de las anteriores,Uno,10,51-100,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Horarios flexibles"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,6,6,No,0,Architect,,,,,,,,,,Full-Time,53000,Bruto,2,1,Menos de un sueldo,Mix de las anteriores,Dos,10,201-500,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes, Playroom, Snacks, golosinas, bebidas, Stock options / Shares, Viajes al exterior"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,7,Menos de un año,No,0,Developer,,".NET, C#, CSS, HTML, Javascript, jQuery, SQL",,,,,No,0,Porcentaje de mi sueldo,Full-Time,29500,Bruto,2,1,No,No recibo bono,Uno,5,11-50,No,No cambié de empresa,"Aumento por inflación, Clases de idiomas, Horarios flexibles, PLAYSTATON EN ALMUERZO"
Mujer,37 - 40,Ciudad Autónoma de Buenos Aires,10+,1,No,0,QA / Tester,,,"Java, PHP",Funcional,Test Complete,,,,,Full-Time,23000,Neto,1,1,No,No recibo bono,No,0,201-500,Sí,Salario,no tengo beneficios
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,10+,No,0,Developer,,Cobol,,,,,No,0,Porcentaje de mi sueldo,Tercerizado (trabajo a través de consultora o agencia),31000,Bruto,1,1,No,No recibo bono,Uno,6.9,201-500,No,No cambié de empresa,Ninguna de las anteriores
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,3,No,0,Developer,,Pentaho,,,,,No,0,Porcentaje de mi sueldo,Full-Time,45000,Bruto,2,2,No,No recibo bono,Uno,11,1001+,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Masajes, Playroom, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,8,2,No,0,Developer,,PHP,,,,,No,0,Neto,Full-Time,32000,Bruto,2,1,No,No recibo bono,Dos,12,201-500,No,No cambié de empresa,"Clases de idiomas, Descuentos en gimnasios, Masajes, WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,7,Sí,5,Developer,,".NET, C#, X++, Delphi",,,,,"Sí, pasiva",0,Neto,Full-Time,34500,Neto,3,3,Menos de un sueldo,Performance individual,Dos,20,501-1000,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,2,No,0,Developer,,"CSS, Java, Javascript, jQuery",,,,,No,0,Porcentaje de mi sueldo,Full-Time,34000,Bruto,2,2,Un sueldo,Performance individual,Uno,10,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Bonos por desempeño, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos en gimnasios, Snacks, golosinas, bebidas"
Mujer,27 - 30,Ciudad Autónoma de Buenos Aires,7,7,No,0,Developer,,ABAP,,,,,No,0,Bruto,Full-Time,40000,Bruto,2,2,No,No recibo bono,Dos,20,101-200,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,10+,Sí,10,Developer,,"NodeJS, Python, R",,,,,No,0,Porcentaje de mi sueldo,Full-Time,20000,Bruto,4,3,No,No recibo bono,Uno,20,11-50,No,No cambié de empresa,Capacitaciones y/o cursos
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,1,Sí,4,Technical Leader,,,,,,,,,,Full-Time,65000,Bruto,3,3,De uno a tres sueldos,Mix de las anteriores,Uno,7,1001+,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos, WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,2,No,0,Networking,,,,,,,"Sí, pasiva",0,Bruto,Full-Time,23000,Bruto,1,1,De uno a tres sueldos,Mix de las anteriores,Uno,10,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Bonos por desempeño, Comidas pagas/subvencionadas"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,10+,Sí,2,Analista Funcional,,,,,,,,,,Full-Time,28000,Neto,2,2,No,No recibo bono,Uno,10,201-500,No,No cambié de empresa,"Abono de celular y/o Internet, Laptop"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,8,5,No,0,Developer,,"Java, Python, Scala",,,,,No,0,Porcentaje de mi sueldo,Full-Time,52120,Bruto,3,3,De uno a tres sueldos,Performance de la compañía,Uno,16,1001+,No,No cambié de empresa,"Aumento por inflación, Descuentos en gimnasios, Laptop, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,9,Menos de un año,No,0,Developer,,"C++, NodeJS, Unity",,,,,No,0,Porcentaje de mi sueldo,Full-Time,20000,Neto,2,1,Menos de un sueldo,Proyectos,No,0,1-10,No,No cambié de empresa,"Bonos por desempeño, Ninguna de las anteriores"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,5,Sí,3,PM,,,,,,,,,,Full-Time,92000,Bruto,3,4,De uno a tres sueldos,Mix de las anteriores,Uno,30,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Comidas pagas/subvencionadas, Descuentos en gimnasios, WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,1,No,0,Developer,,"CSS, HTML, Javascript, jQuery, PHP",,,,,No,0,Porcentaje de mi sueldo,Full-Time,35000,Neto,3,2,Menos de un sueldo,decision empresarial,Uno,20,1001+,No,No cambié de empresa,Laptop
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,7,Menos de un año,Sí,2,Developer,,"HTML, Javascript, jQuery, NodeJS, PHP",,,,,No,0,Porcentaje de mi sueldo,Full-Time,50000,Neto,3,3,No,No recibo bono,Uno,15,11-50,No,No cambié de empresa,"Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,5,Sí,4,PM,,,,,,,,,,Full-Time,76000,Bruto,3,3,No,No recibo bono,Dos,16.2,51-100,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Stock options / Shares, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, Viáticos"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,1,Sí,10,Infosec,,,,,,,No,0,Bruto,Full-Time,70000,Bruto,4,4,De uno a tres sueldos,Mix de las anteriores,Dos,20,101-200,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,No,0,Developer,,"CSS, HTML, Javascript, NodeJS",,,,,No,0,Porcentaje de mi sueldo,Full-Time,25000,Neto,3,3,De uno a tres sueldos,Mix de las anteriores,Uno,7,1001+,No,Salario,"Aumento por inflación, Bonos por desempeño, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,2,Sí,4,IT Manager,,,,,,,,,,Full-Time,70000,Bruto,2,1,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,1,Sí,4,Architect,,,,,,,,,,Full-Time,44000,Bruto,2,2,No,No recibo bono,Uno,10,1-10,No,No cambié de empresa,prepaga completa grupo familiar
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,3,No,0,Architect,,,,,,,,,,Full-Time,30000,Neto,2,2,Un sueldo,Mix de las anteriores,Uno,12,1001+,No,No cambié de empresa,"Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,10+,No,0,SysAdmin / DevOps,"Windows, Azure, VMWare, Moodle",no soy developer,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,49500,Bruto,4,3,No,No recibo bono,Dos,23,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Ipad"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,5,Sí,23,Jefe desarrollo,,,,,,,,,,Full-Time,73000,Bruto,3,3,Un sueldo,Performance individual,Uno,17,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Descuentos en gimnasios, Laptop"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5,2,No,0,Developer,,"ABAP, CSS, HTML, Java, Javascript, jQuery",,,,,No,0,Porcentaje de mi sueldo,Full-Time,40000,Bruto,2,2,Menos de un sueldo,Mix de las anteriores,No,0,101-200,No,No cambié de empresa,"Bonos por desempeño, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Developer,,"CSS, HTML, Javascript, NodeJS",,,,,No,0,Bruto,Full-Time,44000,Bruto,4,4,No,No recibo bono,Uno,13,501-1000,Sí,desvinculacion,"Aumento por inflación, Capacitaciones y/o cursos, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,6,Menos de un año,No,0,Customer Engineer,,,,,,,,,,Full-Time,14000,Neto,2,2,No,No recibo bono,Uno,30,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Laptop, Viáticos"
Mujer,41 - 45,Ciudad Autónoma de Buenos Aires,10+,5,Sí,25,Scrum Master / Agile Coach,,,,,,,,,,Tercerizado (trabajo a través de consultora o agencia),45000,Bruto,2,3,De uno a tres sueldos,Mix de las anteriores,Uno,30,101-200,No,No cambié de empresa,"Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Masajes, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,8,2,Sí,3,Tech Lead ,,,,,,,,,,Full-Time,75000,Bruto,3,3,3+ sueldos,Mix de las anteriores,Uno,20,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,2,No,0,Developer,,Java,,,,,No,0,Bruto,Full-Time,54000,Bruto,2,2,De uno a tres sueldos,Performance de la compañía,Dos,26,1001+,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,6,3,No,0,Developer,,"HTML, Javascript, PHP, Sql",,,,,No,0,Porcentaje de mi sueldo,Full-Time,26500,Neto,3,2,Menos de un sueldo,Mix de las anteriores,Uno,12.5,101-200,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Cuota para universidad, Laptop, Masajes, Snacks, golosinas, bebidas, Stock options / Shares, WFH (Trabajar desde casa)"
