Soy,Tengo,Argentina,Años de experiencia,Años en el puesto actual,Trabajo de,Gente a cargo?,Cuánta?,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Julio 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación en 2016?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,24 - 26,Chaco,3,3,Networking,Sí,1,"Linux, Windows, Mikrotik",,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,13000,Bruto,3,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Viáticos
Hombre,27 - 30,Chaco,10+,5,Networking,Sí,5,"*BSD, Linux, Windows, VMWare",,,,,"Sí, activa",0,Porcentaje de mi sueldo,Full-Time,13000,Neto,1,1,No,No recibo bono,Uno,22,11-50,No,No cambié de empresa,"Abono de celular y/o Internet, Comidas pagas/subvencionadas, Laptop"
Hombre,27 - 30,Chaco,10+,3,Networking,Sí,15,"Linux, Windows",,,,,"Sí, pasiva",0,Bruto,Full-Time,45000,Bruto,2,1,De uno a tres sueldos,Performance de la compañía,No,0,11-50,No,No cambié de empresa,"Abono de celular y/o Internet, Bonos por desempeño, Capacitaciones y/o cursos, Cuota para universidad, Viajes al exterior, Viáticos, WFH (Trabajar desde casa)"
Hombre,37 - 40,Chaco,10+,5,profesor,No,0,Windows,,,,,No,0,Neto,Full-Time,9000,Neto,2,2,Menos de un sueldo,Mix de las anteriores,No,0,51-100,No,No cambié de empresa,Capacitaciones y/o cursos
Hombre,34 - 36,Chaco,4,3,QA / Tester,Sí,1,"Linux, Windows",,,,,No,0,Neto,Part-Time,12000,Neto,2,3,No,No recibo bono,Dos,27,1001+,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Viáticos"
Mujer,24 - 26,Chaco,2,2,QA / Tester,Sí,3,"Linux, VMWare",,,,,No,0,Porcentaje de mi sueldo,Full-Time,12500,Neto,1,2,Menos de un sueldo,Performance individual,No,0,201-500,No,No cambié de empresa,"Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Playroom"
Hombre,24 - 26,Chaco,3,3,QA / Tester,Sí,1,Windows,,,,,No,0,Porcentaje de mi sueldo,Full-Time,13200,Neto,2,1,No,No recibo bono,Uno,10,101-200,No,No cambié de empresa,Horarios flexibles
Hombre,27 - 30,Chaco,8,2,QA Automation ,No,0,"Linux, Windows",,,,,No,0,Bruto,Full-Time,15240,Bruto,2,2,No,No recibo bono,No,0,1001+,No,No cambié de empresa,"Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Masajes, Playroom, WFH (Trabajar desde casa)"
Hombre,34 - 36,Chaco,10+,10+,Storage / Backup,No,0,"AIX, Linux, Solaris, Windows, Amazon Web Services, VMWare",,,,,"Sí, activa",780,Neto,Full-Time,20000,Neto,2,3,No,No recibo bono,Uno,17,501-1000,No,No cambié de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Horarios flexibles, WFH (Trabajar desde casa)"
Mujer,37 - 40,Chaco,8,8,SysAdmin / DevOps,Sí,2,Windows,,,,,No,0,Neto,Part-Time,6500,Neto,3,2,No,No recibo bono,Dos,39,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Chaco,7,3,SysAdmin / DevOps,No,0,"*BSD, Linux, Windows, OpenStack, VMWare, IBM Bladecenter - Avaya - Cisco - Dynamics - SQL - MySQL",,,,,"Sí, pasiva",0,Neto,Full-Time,17800,Neto,3,2,No,No recibo bono,Uno,10,501-1000,Sí,Mayor comodidad,Horarios flexibles
Hombre,21 - 23,Chaco,4,3,SysAdmin / DevOps,No,0,"Linux, Windows",,,,,No,0,Bruto,Full-Time,18000,Neto,3,3,Menos de un sueldo,Mix de las anteriores,No,0,51-100,No,No cambié de empresa,"Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Cuota para universidad, Descuentos en gimnasios, Masajes"
Hombre,27 - 30,Chaco,Menos de un año,Menos de un año,SysAdmin / DevOps,No,0,"*BSD, Linux, Amazon Web Services, Docker / Containers, OpenStack",,,,,No,0,Neto,Tercerizado (trabajo a través de consultora o agencia),18000,Bruto,3,2,No,No recibo bono,No,0,51-100,Sí,Desafíos profesionales,"Capacitaciones y/o cursos, Clases de idiomas, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,37 - 40,Chaco,10+,10+,SysAdmin / DevOps,No,0,"Linux, Windows",,,,,No,0,Bruto,Full-Time,20000,Neto,3,2,No,No recibo bono,No,0,1001+,No,No cambié de empresa,"Capacitaciones y/o cursos, Horarios flexibles"
Hombre,27 - 30,Chaco,10+,4,SysAdmin / DevOps,Sí,4,"Linux, Windows, VMWare",,,,,No,0,Bruto,Full-Time,25009,Neto,3,2,Menos de un sueldo,Performance individual,Dos,33,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Hombre,24 - 26,Chaco,1,1,Tecnico,No,0,Windows,,,,,"Sí, activa",0,Neto,Full-Time,7450,Neto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,21 - 23,Chaco,1,1,Tecnico informatico,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,Part-Time,3000,Bruto,1,1,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Capacitaciones y/o cursos
Hombre,27 - 30,Chaco,2,1,Vendedor,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,Full-Time,15000,Neto,3,3,Un sueldo,Performance de la compañía,Dos,39,11-50,No,No cambié de empresa,Bonos por desempeño
Hombre,24 - 26,Chubut,Menos de un año,Menos de un año,administracion,No,0,Windows,,,,,No,0,Bruto,Full-Time,18000,Neto,4,4,No,No recibo bono,No,0,1-10,Sí,Salario,Abono de celular y/o Internet
Hombre,37 - 40,Chubut,8,8,Control de acceso,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,Full-Time,13000,Bruto,2,2,No,No recibo bono,Más de dos,45,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Chubut,6,6,DBA,No,2,Windows,,,,,"Sí, activa",700,Neto,Full-Time,25000,Neto,2,2,No,No recibo bono,Uno,24,201-500,No,No cambié de empresa,Capacitaciones y/o cursos
Hombre,24 - 26,Chubut,8,2,Developer,No,0,"Linux, Windows",,,,,No,0,Porcentaje de mi sueldo,Full-Time,15000,Neto,2,3,Menos de un sueldo,Performance individual,No,0,1-10,No,No cambié de empresa,Bonos por desempeño
