Timestamp,Tengo,Trabajo en,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias ?,Cuánto te pagan por guardia (AR$),Salario bruto mensual (AR$),Cómo creés que está tu sueldo,Beneficios
11/25/2014 14:36:36,20 - 23,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,Developer,,"CSS, HTML, jQuery, JavaScript",,No,,9068,4,"Capacitaciones y/o cursos, Clases de idiomas, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop"
11/25/2014 14:41:03,35 - 40,Ciudad Autónoma de Buenos Aires,7 - 10,6 - 10,Otro,,,,No,,32000,4,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Laptop, Viajes, WFH (Trabajar desde casa)"
11/25/2014 14:42:00,35 - 40,Ciudad Autónoma de Buenos Aires,10+,2 - 4,SysAdmin,"Windows, """"""Cloud""""""",,,No,,21024,4,Horarios flexibles
11/25/2014 14:45:43,33 - 35,Ciudad Autónoma de Buenos Aires,10+,2 - 4,SysAdmin,"*BSD, Linux, Solaris, """"""Cloud""""""",,,"Sí, pasiva",0,14000,2,Ninguna de las anteriores
11/25/2014 14:47:33,23 - 25,Buenos Aires,5 - 7,6 - 10,SysAdmin,"Linux, Windows",,,"Sí, pasiva",0,15500,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles"
11/25/2014 14:48:14,33 - 35,Ciudad Autónoma de Buenos Aires,10+,2 - 4,Infosec,,,,No,,30000,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Snacks, golosinas, bebidas, etc, Horarios flexibles"
11/25/2014 14:48:38,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,6 - 10,HelpDesk,,,,No,,10000,2,Ninguna de las anteriores
11/25/2014 14:49:19,35 - 40,Ciudad Autónoma de Buenos Aires,10+,2 - 4,PM,,,,No,,45000,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop"
11/25/2014 14:53:08,35 - 40,Santa Fe,10+,4 -6,DBA,,,"MSSQL, Oracle",No,,12000,2,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, WFH (Trabajar desde casa)"
11/25/2014 14:53:18,30 - 33,Ciudad Autónoma de Buenos Aires,7 - 10,2 - 4,Networking,,,,"Sí, pasiva",0,18000,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Laptop"
11/25/2014 14:55:23,23 - 25,Tucumán,1 - 3,Menos de un año,Developer,,COBOL,,No,,3500,1,Ninguna de las anteriores
