Soy,Tengo,Argentina,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,1 - 2,Menos de un año,Developer,,CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,13800,Neto,3,3,No,No recibo bono,Uno,18,11-50,No,No cambié de empresa,"Capacitaciones y/o cursos;Snacks, golosinas, bebidas, etc;buena onda"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,5 - 6,Developer,,Java;Android,,,,No,0,Neto,Full-Time,18000,Neto,3,4,No,No recibo bono,Uno,20,11-50,No,No cambié de empresa,Horarios flexibles;WFH (Trabajar desde casa)
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,4 - 5,SysAdmin / DevOps,Linux;Windows;AWS / Rackspace;Docker / Containers;VMWare,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,22000,Neto,4,3,Menos de un sueldo,Mix de las anteriores,Uno,18,501-1000,No,No cambié de empresa,Abono de celular y/o Internet;Aumento por inflación;Clases de idiomas;Descuentos en gimnasios;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,Menos de un año,SysAdmin / DevOps,Linux;Windows;AWS / Rackspace;Docker / Containers;Ansible / Puppet,,,,,No,0,Porcentaje de mi sueldo,Full-Time,24000,Bruto,3,5,No,No recibo bono,No,0,1001+,Sí,Salario,Horarios flexibles;Playroom
Hombre,18 - 20,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,Developer,,CSS;Javascript;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,13000,Bruto,3,3,No,No recibo bono,No,0,201-500,No,No cambié de empresa,"Aumento por inflación;Bonos por desempeño;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,8 - 10,1 - 2,Tech Lead,,,,,,,,,Full-Time,28800,Neto,2,1,No,Performance de la compañía,Uno,11,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,10+,Full Stack Developer,,,,,,,,,Full-Time,26000,Neto,3,3,Menos de un sueldo,Mix de las anteriores,Uno,10,51-100,No,No cambié de empresa,Abono de celular y/o Internet;Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3 - 5,3 - 4,Developer,,HTML;Java;Javascript;jQuery,,,,No,0,Bruto,Full-Time,20000,Neto,2,1,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,3 - 5,3 - 4,Developer,,Progress 4GL,,,,No,0,Porcentaje de mi sueldo,Full-Time,16725,Neto,2,2,No,No recibo bono,Uno,10,201-500,No,No cambié de empresa,Aumento por inflación;Clases de idiomas
Mujer,24 - 26,Ciudad Autónoma de Buenos Aires,3 - 5,1 - 2,Developer,,.NET;C#;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,18000,Neto,3,4,No,No recibo bono,Uno,40,1-10,No,No cambié de empresa,Abono de celular y/o Internet;Horarios flexibles
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,1 - 2,SysAdmin / DevOps,Linux;Windows;Presea,,,,,"Sí, pasiva",0,Bruto,Full-Time,24000,Neto,2,2,No,No recibo bono,Uno,22,201-500,No,No cambié de empresa,Aumento por inflación;Horarios flexibles
